,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,living_density
4782,220000.0,4,2.0,1400,7140,1.0,0.0,3,7,1400,0,1969,0.0,98155,0.19607843137254902
17678,710000.0,4,2.5,3060,5000,2.0,0.0,3,9,3060,0,2006,0.0,98059,0.612
5220,299000.0,3,1.0,1520,8320,1.0,0.0,3,6,1520,0,1953,0.0,98133,0.18269230769230768
4974,599000.0,4,1.0,1590,4280,1.5,0.0,3,7,1590,0,1924,0.0,98103,0.37149532710280375
10161,442000.0,2,1.0,1410,5000,1.0,0.0,4,7,940,470,1918,0.0,98126,0.282
7470,370000.0,3,2.75,1750,9166,1.0,0.0,4,7,1170,580,1979,0.0,98155,0.1909229762164521
1902,1050000.0,4,3.0,2790,3600,2.0,0.0,3,8,1880,910,1905,2013.0,98119,0.775
2412,165000.0,3,1.5,1280,7742,1.0,0.0,3,7,1280,0,1973,0.0,98001,0.16533195556703695
5479,765000.0,2,1.75,1660,4000,1.0,0.0,3,7,990,670,1940,,98112,0.415
20893,550000.0,4,2.5,2470,7539,2.0,0.0,3,9,2470,0,2006,0.0,98028,0.32762965910598224
5400,365000.0,4,3.5,2720,6781,2.0,0.0,3,8,2100,620,1999,0.0,98055,0.40112077864621737
17132,590000.0,3,2.0,1860,3600,1.5,0.0,3,7,1110,750,1915,0.0,98122,0.5166666666666667
19653,299900.0,3,2.5,1210,2046,2.0,0.0,3,9,920,290,2008,,98106,0.5913978494623656
9572,165000.0,3,2.5,1660,2415,2.0,0.0,3,7,1660,0,1983,0.0,98042,0.6873706004140787
4522,810000.0,3,1.5,1520,9041,1.0,0.0,4,7,1520,0,1954,0.0,98004,0.16812299524388896
14384,700000.0,3,2.75,2190,11060,1.0,0.0,4,7,1610,580,1973,0.0,98033,0.1980108499095841
8989,320000.0,3,1.0,1120,10576,1.0,0.0,4,7,1120,0,1969,0.0,98077,0.1059001512859304
4850,285000.0,3,1.75,1160,7006,1.0,0.0,4,7,1160,0,1992,,98022,0.16557236654296317
11685,720000.0,4,3.0,3550,12327,1.5,0.0,4,10,2180,1370,1990,0.0,98011,0.28798572239798814
9576,730000.0,4,2.5,3550,35689,2.0,0.0,4,9,3550,0,1991,0.0,98077,0.09947042506094315
366,673000.0,4,2.5,2990,10400,2.0,0.0,3,9,2990,0,2002,0.0,98166,0.2875
13623,563500.0,4,2.5,2190,4944,2.0,0.0,3,8,2190,0,1999,0.0,98065,0.4429611650485437
17524,425000.0,4,1.75,1730,11890,1.0,0.0,2,7,980,750,1955,0.0,98004,0.1455004205214466
20753,1110000.0,4,3.0,2770,2650,2.0,0.0,3,9,2180,590,2014,0.0,98109,1.0452830188679245
8071,380000.0,4,1.5,1680,11123,1.0,0.0,3,7,1130,550,1959,0.0,98177,0.1510383889238515
14276,400000.0,4,2.0,1670,12056,1.0,0.0,3,7,1670,0,1955,,98028,0.1385202388852024
15235,345000.0,3,1.0,1060,5600,1.0,0.0,4,6,760,300,1943,0.0,98146,0.18928571428571428
19288,315000.0,3,2.5,2200,5954,2.0,0.0,3,7,2200,0,2004,0.0,98042,0.36949949613705074
1679,1230000.0,4,2.5,3040,7000,2.0,0.0,3,9,3040,0,2001,0.0,98040,0.4342857142857143
13608,1760000.0,3,2.25,3060,16000,2.0,0.0,3,10,3060,0,1988,0.0,98039,0.19125
9760,875000.0,4,2.75,3790,10669,2.0,0.0,3,10,3790,0,1999,0.0,98075,0.3552347923891649
546,782000.0,4,2.5,2380,9614,2.0,0.0,4,10,2380,0,1991,0.0,98006,0.24755564801331392
14082,275000.0,2,1.0,910,4191,1.0,0.0,3,6,910,0,1910,0.0,98117,0.21713194941541397
3833,395000.0,1,1.0,730,3000,1.0,0.0,3,7,730,0,1911,0.0,98107,0.24333333333333335
6649,580000.0,3,2.75,2660,32757,1.0,0.0,4,8,2660,0,1975,0.0,98077,0.08120401746191654
11227,375000.0,3,2.0,1450,7300,1.5,0.0,5,7,1450,0,1955,,98133,0.19863013698630136
21199,309000.0,3,2.5,1950,3825,2.0,0.0,3,7,1950,0,2013,0.0,98042,0.5098039215686274
5700,530000.0,3,2.25,1880,100623,1.5,0.0,3,8,1880,0,1987,2007.0,98024,0.018683601164743647
14142,538250.0,3,2.25,2590,15229,2.0,0.0,3,8,2590,0,1984,0.0,98198,0.17007026068684747
1100,631000.0,5,2.0,2270,2400,2.0,0.0,3,7,2270,0,1905,,98122,0.9458333333333333
1840,824500.0,4,2.5,2610,3500,1.5,0.0,5,7,1610,1000,1927,,98115,0.7457142857142857
17101,182500.0,3,1.0,910,7194,1.0,0.0,4,7,910,0,1971,0.0,98001,0.12649430080622742
2544,299900.0,4,2.5,1580,3632,2.0,0.0,3,7,1580,0,2011,,98038,0.43502202643171806
21372,325000.0,3,2.25,1330,1198,2.0,0.0,3,8,1080,250,2007,,98106,1.1101836393989983
14155,275000.0,3,2.25,1640,6044,2.0,0.0,3,7,1640,0,1996,0.0,98002,0.271343481138319
8417,700000.0,3,2.5,2850,36585,2.0,0.0,3,10,2850,0,1987,0.0,98072,0.07790077900779008
6430,625000.0,3,2.5,2750,35000,2.0,0.0,3,9,2750,0,1993,0.0,98077,0.07857142857142857
3146,402500.0,4,1.0,1270,3630,1.5,0.0,3,7,1270,0,1903,,98122,0.349862258953168
18035,314000.0,2,1.0,720,4920,1.0,0.0,3,6,720,0,1941,0.0,98126,0.14634146341463414
7935,612500.0,4,2.5,2730,12261,2.0,0.0,3,9,2730,0,1991,,98011,0.22265720577440665
14216,290000.0,3,1.0,1480,32700,1.0,0.0,4,6,1380,100,1942,0.0,98168,0.04525993883792049
12253,485000.0,4,2.75,2910,16362,1.0,0.0,4,9,2120,790,1969,0.0,98003,0.17785111844517784
8591,310000.0,1,1.0,570,6000,1.0,0.0,2,5,570,0,1918,0.0,98136,0.095
1294,925000.0,4,2.5,2190,7350,2.5,0.0,5,8,2190,0,1958,0.0,98040,0.2979591836734694
18535,630000.0,4,1.75,1770,12278,1.0,0.0,3,7,1350,420,1937,,98115,0.1441602866916436
3160,415000.0,3,1.0,1360,73616,1.0,0.0,3,7,1360,0,1971,0.0,98072,0.01847424472940665
11448,475000.0,3,1.75,1260,10065,1.0,0.0,3,7,1260,0,1954,2014.0,98006,0.12518628912071536
6123,590000.0,4,1.5,2230,5109,1.5,0.0,3,7,1330,900,1918,0.0,98115,0.4364846349579174
18001,630000.0,4,2.5,2190,9880,1.0,0.0,4,8,1410,780,1979,0.0,98033,0.2216599190283401
13113,346000.0,5,1.0,1790,30456,1.0,0.0,4,7,1350,440,1964,0.0,98030,0.05877331231941161
14402,700180.0,2,1.75,1530,4387,1.0,0.0,3,8,1020,510,1952,0.0,98115,0.34875769318440847
13350,535000.0,3,2.5,2400,12546,1.0,0.0,3,9,2400,0,1983,,98074,0.1912960306073649
8661,195000.0,3,1.75,1570,8459,1.0,0.0,3,7,1570,0,1991,0.0,98022,0.1856011348859203
2816,1390000.0,5,3.75,3290,6480,2.0,0.0,5,10,2190,1100,1938,,98199,0.5077160493827161
13404,629500.0,3,2.0,2020,10584,1.0,0.0,3,10,2020,0,1994,0.0,98075,0.190854119425548
17619,776000.0,2,2.0,1990,6180,1.0,0.0,4,7,1010,980,1941,,98115,0.3220064724919094
8903,465000.0,3,2.25,2560,117176,1.0,0.0,4,9,1280,1280,1977,0.0,98027,0.02184747729910562
20429,366750.0,3,3.0,1571,2017,3.0,0.0,3,8,1571,0,2008,,98125,0.7788795240456123
1472,280000.0,4,2.25,2100,8075,2.0,0.0,3,8,2100,0,1978,0.0,98003,0.26006191950464397
15747,315000.0,3,1.0,1210,8505,1.5,0.0,3,7,1210,0,1958,0.0,98106,0.1422692533803645
11896,879900.0,4,2.75,3580,12000,1.0,0.0,3,10,1840,1740,1979,,98074,0.29833333333333334
11661,1730000.0,5,3.5,5000,26540,2.0,0.0,3,10,3410,1590,2008,0.0,98040,0.18839487565938207
17782,389000.0,4,2.5,2420,9147,2.0,0.0,3,10,2420,0,1998,0.0,98003,0.2645676177981852
16876,440000.0,3,1.5,2120,6290,1.0,0.0,4,8,1220,900,1949,,98108,0.3370429252782194
19470,299500.0,3,1.75,1810,34500,1.0,0.0,3,8,1230,580,1980,0.0,98032,0.05246376811594203
14291,460000.0,2,2.0,1080,5000,1.0,0.0,5,6,1080,0,1923,0.0,98117,0.216
9883,784950.0,4,2.75,2840,4227,3.0,0.0,3,9,2840,0,2014,0.0,98052,0.6718713035249586
1479,455800.0,3,2.5,1690,4584,2.0,0.0,3,7,1690,0,2002,,98053,0.36867364746945896
13024,435000.0,3,2.25,1740,8491,1.0,0.0,3,8,1240,500,1958,0.0,98177,0.2049228594982923
19212,263000.0,4,2.75,1830,7315,1.0,0.0,5,7,1250,580,1979,0.0,98023,0.2501708817498291
17753,2050000.0,4,3.25,3580,19989,1.5,1.0,4,7,3480,100,1915,1965.0,98125,0.1790985041772975
18361,952500.0,4,1.5,2550,5055,2.0,0.0,4,10,2550,0,1910,0.0,98112,0.5044510385756676
7592,410000.0,4,2.0,1580,9581,1.0,0.0,3,7,1580,0,1953,0.0,98033,0.16490971714852312
3691,625000.0,3,2.25,1970,4564,1.0,0.0,3,8,1470,500,1959,,98199,0.4316389132340053
1794,780000.0,3,2.5,2610,7567,2.0,0.0,3,9,2610,0,1997,0.0,98052,0.34491872604731066
19259,685000.0,3,2.5,3290,90796,2.0,0.0,4,10,3290,0,1992,0.0,98042,0.036235076435085244
20476,670000.0,2,2.0,1500,761,3.0,0.0,3,8,1500,0,2008,0.0,98103,1.971090670170828
21042,300000.0,3,3.25,1470,1235,2.0,0.0,3,7,1180,290,2008,0.0,98108,1.1902834008097165
5550,434000.0,3,2.25,1750,9353,1.0,0.0,3,7,1210,540,1987,0.0,98034,0.18710574147332407
17709,1330000.0,3,2.25,2360,5504,2.0,0.0,4,8,2080,280,1913,0.0,98122,0.42877906976744184
15727,280500.0,3,1.0,1220,4541,1.0,0.0,3,7,890,330,1952,0.0,98108,0.26866329002422373
19572,320000.0,3,2.0,1420,1716,2.0,0.0,3,7,1050,370,2003,,98155,0.8275058275058275
2706,610000.0,4,2.75,2600,36583,1.0,0.0,5,8,1580,1020,1976,,98075,0.07107126260831534
16018,374990.0,3,2.5,1300,10484,2.0,0.0,3,8,1300,0,1983,,98028,0.12399847386493705
10802,432500.0,3,1.75,1470,7350,1.0,0.0,3,8,1470,0,1963,0.0,98052,0.2
4297,899100.0,5,2.5,2410,15300,1.0,0.0,4,8,1400,1010,1975,0.0,98040,0.15751633986928104
2526,565000.0,3,2.0,2730,15677,2.5,0.0,3,9,2730,0,1976,0.0,98166,0.1741404605472986
8870,289900.0,3,1.75,1899,11325,2.0,0.0,3,7,1899,0,1943,,98198,0.16768211920529802
3329,250000.0,2,0.75,700,16828,1.0,0.0,4,6,700,0,1958,0.0,98092,0.04159733777038269
3674,660000.0,5,2.25,2540,3750,1.5,0.0,4,7,1510,1030,1925,0.0,98115,0.6773333333333333
12296,429000.0,4,1.0,1350,3333,1.5,0.0,3,7,1350,0,1912,0.0,98107,0.40504050405040504
20268,345000.0,4,2.5,2020,3600,2.0,0.0,3,7,2020,0,2012,,98038,0.5611111111111111
14840,550000.0,3,2.5,1680,10455,2.0,0.0,3,8,1680,0,1982,0.0,98052,0.1606886657101865
14700,515000.0,3,1.75,1190,4500,1.0,0.0,3,6,1190,0,1922,2012.0,98116,0.2644444444444444
20878,1100000.0,3,2.5,2550,5100,2.0,0.0,3,9,2550,0,2014,,98115,0.5
5204,648475.0,4,2.75,2250,5700,1.0,0.0,3,8,1200,1050,1951,0.0,98109,0.39473684210526316
5740,225000.0,3,1.5,1250,7500,1.0,0.0,3,7,1250,0,1967,0.0,98030,0.16666666666666666
16420,677000.0,3,2.0,2000,3207,1.0,0.0,4,7,1100,900,1916,,98103,0.6236357966947302
10908,449000.0,3,2.5,1690,3827,2.0,0.0,3,7,1690,0,2005,0.0,98053,0.4415991638359028
4966,239000.0,3,1.75,1470,8925,1.0,0.0,4,7,1470,0,1957,0.0,98022,0.16470588235294117
14897,464950.0,4,2.5,2230,64438,1.0,0.0,4,7,1230,1000,1978,0.0,98027,0.03460690896675875
20589,297000.0,4,2.5,2230,4952,2.0,0.0,3,8,2230,0,2011,0.0,98002,0.45032310177705975
809,361000.0,3,2.0,1950,8698,1.0,0.0,3,8,1950,0,1999,0.0,98042,0.2241894688434123
15410,479000.0,2,2.5,1730,1037,3.5,0.0,3,8,1730,0,2008,0.0,98118,1.6682738669238186
21532,1060000.0,2,1.5,2370,184231,2.0,0.0,3,11,2370,0,2005,0.0,98045,0.012864284512378482
12855,132500.0,3,1.0,1080,10500,1.0,0.0,3,7,1080,0,1967,0.0,98001,0.10285714285714286
6222,380000.0,3,2.5,1840,6985,1.0,0.0,3,7,1290,550,1971,,98133,0.2634216177523264
4378,450000.0,3,2.25,1960,6500,2.0,0.0,4,8,1960,0,1977,0.0,98052,0.30153846153846153
6506,1240000.0,4,3.0,3330,6990,1.5,0.0,5,9,2330,1000,1928,0.0,98144,0.47639484978540775
3264,935000.0,3,3.25,3710,38509,2.0,0.0,3,10,3710,0,1998,0.0,98014,0.09634111506401101
7745,345000.0,3,2.0,1610,15005,1.0,0.0,4,7,1610,0,1986,0.0,98014,0.1072975674775075
16388,341950.0,5,3.0,3070,5252,2.0,0.0,3,8,3070,0,2005,0.0,98042,0.5845392231530845
870,642450.0,3,1.75,1830,4160,1.0,0.0,3,7,1230,600,1919,0.0,98144,0.43990384615384615
15892,427500.0,4,2.5,2460,5091,2.0,0.0,3,9,2460,0,2003,0.0,98058,0.48320565704183854
11210,450000.0,3,1.0,2020,8100,1.0,0.0,3,7,1170,850,1956,0.0,98125,0.24938271604938272
5349,399000.0,4,2.5,2870,9292,2.0,0.0,3,8,2540,330,1979,0.0,98058,0.30886784330606976
4614,291700.0,3,2.5,1970,4120,1.5,0.0,3,6,1230,740,1927,0.0,98106,0.47815533980582525
15072,360000.0,5,2.5,2880,6902,1.0,0.0,3,8,1680,1200,1976,,98058,0.41727035641842947
9299,779000.0,4,1.5,2740,4912,1.0,0.0,4,8,1370,1370,1937,0.0,98199,0.5578175895765473
11108,446000.0,4,2.0,2280,43692,1.0,0.0,3,7,1140,1140,1957,1984.0,98038,0.052183466080747046
6363,263300.0,2,1.0,900,4500,1.0,0.0,3,7,900,0,1951,,98118,0.2
17002,760369.0,5,2.5,2870,4712,2.0,0.0,3,9,2870,0,2014,0.0,98006,0.6090831918505942
11970,275000.0,3,1.5,1030,7184,1.0,0.0,4,7,1030,0,1968,0.0,98056,0.14337416481069043
7951,203000.0,3,1.75,1190,6000,1.0,0.0,3,7,1190,0,1952,,98178,0.19833333333333333
12150,340000.0,4,2.5,2810,6481,2.0,0.0,3,9,2810,0,1998,0.0,98092,0.43357506557629993
2729,283000.0,3,1.0,1740,5247,1.0,0.0,3,7,1270,470,1947,0.0,98168,0.3316180674671241
7553,679000.0,4,2.5,3680,7236,2.0,0.0,3,10,3680,0,2006,0.0,98038,0.5085682697622996
8409,225800.0,4,1.0,1100,7110,1.0,0.0,4,7,880,220,1907,,98030,0.15471167369901548
10716,360000.0,3,1.75,1950,7260,1.0,0.0,3,8,1520,430,1957,0.0,98133,0.26859504132231404
10871,255000.0,3,1.0,1710,12000,1.0,0.0,4,7,1710,0,1972,,98001,0.1425
20219,735000.0,3,2.25,1490,1212,2.0,0.0,3,9,1040,450,2011,,98112,1.2293729372937294
20918,880000.0,4,2.5,3550,8618,2.0,0.0,3,10,3550,0,2007,0.0,98052,0.41192852169877003
17400,739000.0,4,2.5,2800,246114,2.0,0.0,3,9,2800,0,1999,0.0,98014,0.011376841626238247
15267,339999.0,3,2.5,2360,8093,2.0,0.0,3,8,2360,0,1995,0.0,98092,0.29161003336216484
16556,340000.0,4,1.0,1200,11834,1.0,1.0,3,6,1200,0,1972,0.0,98070,0.1014027378739226
8831,485000.0,4,2.25,1900,7200,1.0,0.0,3,8,1370,530,1977,0.0,98146,0.2638888888888889
13412,1170000.0,5,2.5,2810,6000,2.5,0.0,3,9,2810,0,1907,0.0,98109,0.4683333333333333
750,329999.0,3,1.0,1150,6908,1.0,0.0,3,6,800,350,1952,,98155,0.16647365373480022
14535,260000.0,4,2.75,2250,7345,1.0,0.0,4,8,1320,930,1984,0.0,98023,0.3063308373042886
5908,785000.0,3,2.0,1600,9638,1.0,0.0,5,7,1600,0,1952,0.0,98040,0.16600954554886907
4793,369950.0,3,1.0,1110,7603,1.0,0.0,3,7,1110,0,1967,0.0,98034,0.14599500197290544
8808,465000.0,4,2.0,1470,10291,1.0,0.0,4,7,1470,0,1963,0.0,98008,0.14284326110193374
828,465750.0,3,1.5,1260,10350,1.0,0.0,3,7,1260,0,1959,0.0,98008,0.12173913043478261
3775,605000.0,3,2.5,2460,138085,2.0,0.0,4,9,2460,0,1977,0.0,98027,0.01781511387913242
6612,340000.0,4,2.5,2090,4200,2.0,0.0,3,7,2090,0,2007,0.0,98038,0.4976190476190476
10770,1050000.0,4,4.0,4320,8709,2.0,0.0,3,11,3190,1130,2006,0.0,98027,0.496038580778505
20703,440000.0,5,3.25,2610,3642,2.0,0.0,3,8,2080,530,2005,,98118,0.7166392092257001
8877,920000.0,4,2.5,3810,13579,2.0,0.0,3,10,3810,0,2003,0.0,98007,0.2805803078282642
14037,563500.0,4,2.5,2780,7838,2.0,0.0,3,9,2780,0,2004,0.0,98065,0.354682316917581
18287,559000.0,3,2.5,2010,5200,2.0,0.0,3,8,2010,0,1989,0.0,98034,0.38653846153846155
3922,775000.0,3,2.5,3820,35016,2.0,0.0,4,9,3820,0,1987,,98053,0.10909298606351382
16731,643500.0,3,2.0,1650,7104,2.0,0.0,3,8,1650,0,1945,,98177,0.23226351351351351
3837,585000.0,4,1.75,3000,42200,1.0,0.0,3,7,1500,1500,1950,0.0,98056,0.07109004739336493
6290,535000.0,3,2.5,1850,10109,2.0,0.0,3,8,1850,0,1991,0.0,98034,0.18300524285290334
18915,365000.0,3,2.5,1484,1761,3.0,0.0,3,7,1484,0,2003,0.0,98115,0.8427030096536059
2617,290300.0,2,1.0,860,3874,1.0,0.0,4,6,860,0,1931,0.0,98055,0.2219927723283428
1179,535000.0,3,1.0,1330,40259,1.0,0.0,4,7,1330,0,1977,0.0,98024,0.033036091308775675
6993,595000.0,4,2.0,3090,87120,1.0,0.0,4,7,1590,1500,1974,0.0,98072,0.03546831955922865
8699,417200.0,2,1.0,1000,4000,1.0,0.0,3,6,1000,0,1910,0.0,98107,0.25
11276,539000.0,3,2.25,1540,5338,1.0,0.0,5,7,770,770,1954,0.0,98115,0.28849756463094794
7291,525000.0,5,3.25,2480,10277,2.0,0.0,5,8,1640,840,1993,0.0,98155,0.24131555901527682
7117,378500.0,2,1.0,880,6171,1.0,0.0,4,7,880,0,1949,,98125,0.14260249554367202
18409,274000.0,2,2.0,1700,7992,1.0,0.0,4,7,950,750,1980,0.0,98023,0.21271271271271272
19420,333000.0,4,2.0,2750,9001,1.0,0.0,3,8,2750,0,2008,,98055,0.30552160871014333
3348,395000.0,3,2.5,1610,3755,2.0,0.0,3,7,1610,0,1987,0.0,98052,0.42876165113182424
4167,245000.0,4,1.5,2010,7561,1.5,0.0,4,7,1890,120,1921,0.0,98002,0.26583785213596084
5201,768500.0,4,1.75,3620,10400,1.0,0.0,4,8,1820,1800,1965,0.0,98005,0.34807692307692306
17488,431000.0,3,2.5,2440,71002,1.0,0.0,4,9,2440,0,1996,0.0,98022,0.03436522914847469
7251,308950.0,4,2.5,1920,8562,2.0,0.0,4,7,1920,0,1994,0.0,98022,0.22424667133847231
7476,359000.0,3,3.0,1320,1071,2.0,0.0,3,7,1080,240,2003,0.0,98144,1.2324929971988796
1190,173000.0,2,1.0,1740,8100,1.0,0.0,3,6,1050,690,1947,0.0,98168,0.21481481481481482
3500,569000.0,4,1.75,1230,7890,1.0,0.0,4,7,1090,140,1950,0.0,98004,0.155893536121673
4160,420250.0,3,2.0,1510,3657,1.0,0.0,3,8,1510,0,2007,0.0,98053,0.41290675417008477
11761,625500.0,2,1.0,2160,7439,1.0,0.0,4,6,1300,860,1953,0.0,98115,0.2903616077429762
21227,630000.0,4,3.0,3640,5096,2.0,0.0,3,8,2740,900,2010,0.0,98118,0.7142857142857143
19320,345000.0,2,1.0,1080,4000,1.0,0.0,3,7,1080,0,1940,0.0,98117,0.27
9363,245000.0,3,2.0,1850,8208,1.0,0.0,4,7,1180,670,1970,0.0,98023,0.22538986354775828
3692,350000.0,3,1.75,1820,9545,1.0,0.0,3,7,1230,590,1976,0.0,98155,0.19067574646411733
17719,498000.0,2,2.0,1140,8282,1.0,0.0,3,6,1140,0,1924,2009.0,98033,0.13764791113257668
11056,870000.0,4,2.5,3340,12248,2.0,0.0,3,9,2470,870,1998,0.0,98126,0.2726975832789027
15425,340000.0,2,1.75,1500,4158,1.0,0.0,4,7,1220,280,1947,,98103,0.36075036075036077
3376,415000.0,3,1.75,1910,12596,1.0,0.0,3,7,1340,570,1977,0.0,98072,0.15163543982216576
15696,326000.0,2,1.0,1210,7440,1.0,0.0,3,6,780,430,1940,0.0,98155,0.16263440860215053
7422,203000.0,3,1.75,1490,8000,1.0,0.0,4,7,1200,290,1978,0.0,98092,0.18625
11617,472000.0,3,1.5,1740,9038,1.0,0.0,4,7,1740,0,1955,0.0,98007,0.19252046913033857
21113,279800.0,3,1.75,1410,2052,2.0,0.0,3,8,1410,0,2014,,98106,0.6871345029239766
21253,365000.0,5,2.75,2410,5003,1.0,0.0,3,7,1410,1000,2008,0.0,98118,0.4817109734159504
3064,400000.0,2,2.5,1410,1281,2.0,0.0,3,8,1090,320,2008,0.0,98126,1.100702576112412
5137,565000.0,4,2.5,2240,14667,2.0,0.0,4,9,2240,0,1989,0.0,98059,0.15272380173177882
3314,590000.0,4,4.25,2360,57514,2.0,0.0,4,8,2360,0,1939,,98003,0.04103348749869597
13375,366000.0,3,2.0,1350,10200,1.0,0.0,3,7,1350,0,1977,0.0,98074,0.1323529411764706
10788,825000.0,2,2.0,1830,3600,1.0,0.0,4,7,1230,600,1926,0.0,98109,0.5083333333333333
21478,915000.0,3,4.5,3850,62726,2.0,0.0,3,10,3120,730,2013,0.0,98053,0.06137805694608296
2758,615000.0,3,1.75,1950,8480,1.0,0.0,4,8,1250,700,1962,0.0,98007,0.22995283018867924
3669,464500.0,5,1.5,2940,13425,1.0,0.0,3,8,1470,1470,1955,,98155,0.21899441340782122
21047,487000.0,4,2.5,2540,5001,2.0,0.0,3,9,2540,0,2005,0.0,98108,0.5078984203159368
8269,440000.0,3,1.0,1210,5750,1.5,0.0,4,7,1210,0,1910,0.0,98136,0.21043478260869566
1871,616300.0,3,2.0,1700,8400,2.0,0.0,3,7,1700,0,1927,0.0,98033,0.20238095238095238
3271,660000.0,2,2.25,2550,6000,2.0,0.0,5,7,1860,690,1902,0.0,98115,0.425
7695,376500.0,3,2.0,1630,7800,1.0,0.0,5,7,1630,0,1950,0.0,98125,0.20897435897435898
12092,1430000.0,5,4.25,3350,3600,2.0,0.0,3,10,2260,1090,2014,0.0,98119,0.9305555555555556
8761,309950.0,2,1.5,1510,9843,1.0,0.0,4,7,1510,0,1961,0.0,98188,0.15340851366453317
20231,2230000.0,4,4.25,4700,10800,2.0,0.0,3,11,3910,790,2002,0.0,98033,0.4351851851851852
18115,382880.0,3,2.0,1620,9566,1.0,0.0,4,7,1620,0,1968,0.0,98059,0.1693497804725068
12426,680000.0,3,2.0,1780,5720,1.0,0.0,5,7,980,800,1925,0.0,98103,0.3111888111888112
7146,530000.0,4,3.0,2240,5580,2.0,0.0,5,7,1830,410,1949,0.0,98118,0.4014336917562724
1825,360000.0,3,2.25,2200,8000,2.0,0.0,3,8,2200,0,1981,0.0,98055,0.275
21459,330000.0,3,2.5,1520,3003,2.0,0.0,3,7,1520,0,2009,0.0,98059,0.5061605061605061
15138,2150000.0,4,3.25,3840,6214,1.5,0.0,4,10,2590,1250,1939,0.0,98199,0.6179594464113293
